"REFYEAR","ALTERNATIVE","RT_CONTRIB_EE_OASDI","RT_CONTRIB_SE_OASDI","PRODUCTIVITY","PGDP","AVG_HOURS_WORKED","GROWTH_WAGE_NOMINAL","GROWTH_WAGE_REAL","UR","CHG_RGDP","INTRATE_NOMINAL","INTRATE_REAL","CPI_ADJ","AWI","TAXABLE_PAYROLL","NGDP","INTRATE_NEWISSUE_FACTOR","INTRATE_EFFECTIVE_FACTOR"
2007,0,12.4,12.4,1.06,2.71,-0.17,4.5,1.58,4.6,2,4.7,1.9,67.67,40405.48,5251,14474,0.6818,0.5784
2008,0,12.4,12.4,1.49,1.88,-0.91,2.42,-1.6,5.8,0.1,3.6,0.6,70.44,41334.97,5413,14770,0.7139,0.6084
2009,0,12.4,12.4,3.36,0.66,-2.14,-1.56,-0.89,9.3,-2.6,2.9,4.4,69.96,40711.61,5255,14478,0.7401,0.6387
2010,0,12.4,12.4,2.64,1.21,0.64,2.59,0.51,9.6,2.7,2.8,0.9,71.41,41673.83,5290,15049,0.7618,0.669
2011,0,10.4,10.4,-0.02,2.07,1,3.15,-0.39,8.9,1.5,2.4,-0.7,73.95,42979.61,5467,15600,0.783,0.6993
2012,0,10.4,10.4,0.34,1.88,0.13,3.33,1.2,8.1,2.3,1.5,0.3,75.5,44321.67,5688,16254,0.8021,0.729
2013,0,12.4,12.4,0.52,1.77,0.33,1.23,-0.14,7.4,1.8,1.9,0.1,76.53,44888.16,5892,16843,0.8138,0.7577
2014,0,12.4,12.4,0.31,1.86,0.36,3.6,2.07,6.2,2.3,2.3,0.4,77.68,46481.52,6160,17551,0.8291,0.7857
2015,0,12.4,12.4,0.61,0.96,0.41,3.38,3.81,5.3,2.7,2,2.7,77.36,48098.63,6448,18206,0.8481,0.813
2016,0,12.4,12.4,0.45,1,-0.5,1.29,0.31,4.9,1.7,1.8,1,78.12,48642.15,6639,18695,0.8653,0.8395
2017,0,12.4,12.4,1.04,1.93,-0.05,3.47,1.32,4.4,2.2,2.3,-0.3,79.78,50321.89,6981,19477,0.881,0.8653
2018,0,12.4,12.4,1.03,2.41,0.32,3.65,1.08,3.9,2.9,2.9,-0.2,81.81,52145.8,7309,20533,0.9015,0.8908
2019,0,12.4,12.4,1.32,1.78,-0.15,3.62,1.92,3.7,2.3,2.2,1.2,83.17,54099.99,7661,21381,0.9275,0.9162
2020,0,12.4,12.4,4.11,1.35,-0.43,2.76,1.52,8.1,-2.8,1,1,84.18,55628.6,7716,21060,0.9482,0.9412
2021,0,12.4,12.4,1.49,4.49,1.11,9.36,3.89,5.4,5.9,1.4,-4.1,88.61,60575.07,8318,23315,0.9576,0.9652
2022,0,12.4,12.4,-0.99,7.03,-0.77,4.79,-3.43,3.7,1.9,3,-6.6,NA,NA,NA,NA,NA,NA
2023,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2027,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2028,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2029,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2030,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2031,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2032,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2033,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2034,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2035,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2036,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2037,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2038,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2039,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2040,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2041,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2042,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2043,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2044,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2045,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2046,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2047,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2048,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2049,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2050,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2051,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2052,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2053,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2054,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2055,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2056,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2057,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2058,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2059,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2060,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2061,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2062,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2063,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2064,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2065,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2066,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2067,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2068,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2069,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2070,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2071,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2072,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2073,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2074,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2075,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2076,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2077,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2078,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2079,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2080,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2081,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2082,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2083,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2084,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2085,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2086,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2087,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2088,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2089,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2090,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2091,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2092,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2093,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2094,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2095,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2096,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2097,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2098,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2099,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2100,0,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.24,63432.25,9065,25463,0.9711,0.9884
2023,1,NA,NA,0.87,3.86,0.36,4.73,0.79,3.8,2.2,4.2,-0.9,100,66442.68,9665,27042,1,1.012
2024,1,NA,NA,1.95,2.79,0.07,5.82,2.71,3.8,3.5,4.4,1.2,103.02,70258.88,10343,28782,1.0425,1.0369
2025,1,NA,NA,2.16,2.75,0.09,6.17,3.08,3.6,3.9,4.8,1.4,106.12,74575.71,11089,30730,1.0886,1.0639
2026,1,NA,NA,1.96,2.75,0.06,5.61,2.53,3.5,3,5.1,1.8,109.3,78782.82,11816,32533,1.1411,1.0937
2027,1,NA,NA,1.94,2.75,0.05,5.34,2.27,3.5,2.8,5.5,2.1,112.58,83005.63,12555,34356,1.2005,1.1276
2028,1,NA,NA,1.93,2.75,0.05,5.29,2.22,3.5,2.7,5.5,2.5,115.96,87405.28,13307,36241,1.2672,1.1661
2029,1,NA,NA,1.93,2.75,0.05,5.26,2.2,3.5,2.6,5.5,2.5,119.43,92010.68,14090,38217,1.3379,1.2096
2030,1,NA,NA,1.93,2.75,0.05,5.25,2.19,3.5,2.6,5.5,2.5,123.02,96841.91,14910,40290,1.4125,1.2586
2031,1,NA,NA,1.93,2.75,0.05,5.24,2.18,3.5,2.6,5.7,2.5,126.71,101915.61,15771,42475,1.4915,1.314
2032,1,NA,NA,1.93,2.75,0.05,5.04,1.98,3.5,2.5,5.8,2.7,130.51,107046.81,16650,44755,1.5776,1.3764
2033,1,NA,NA,1.93,2.75,0.05,4.93,1.87,3.5,2.6,5.8,2.8,134.42,112332.16,17530,47169,1.6704,1.4465
2034,1,NA,NA,1.93,2.75,0.05,4.92,1.86,3.5,2.6,5.8,2.8,138.46,117860.01,18452,49711,1.7687,1.5242
2035,1,NA,NA,1.93,2.75,0.05,4.91,1.86,3.5,2.6,5.8,2.8,142.61,123656.58,19420,52381,1.8728,1.6083
2036,1,NA,NA,1.93,2.75,0.05,4.91,1.86,3.5,2.5,5.8,2.8,146.89,129737.1,20435,55186,1.983,1.6985
2037,1,NA,NA,1.93,2.75,0.05,4.91,1.86,3.5,2.5,5.8,2.8,151.3,136114.69,21492,58111,2.0997,1.7953
2038,1,NA,NA,1.93,2.75,0.05,4.9,1.84,3.5,2.5,5.8,2.8,155.83,142784.74,22610,61209,2.2232,1.899
2039,1,NA,NA,1.93,2.75,0.05,4.89,1.83,3.5,2.5,5.8,2.8,160.51,149771.58,23783,64460,2.354,2.0095
2040,1,NA,NA,1.93,2.75,0.05,4.86,1.8,3.5,2.5,5.8,2.8,165.32,157054.51,25023,67898,2.4925,2.1267
2041,1,NA,NA,1.93,2.75,0.05,4.82,1.77,3.5,2.5,5.8,2.8,170.28,164631.98,26329,71520,2.6392,2.2511
2042,1,NA,NA,1.93,2.75,0.05,4.79,1.74,3.5,2.5,5.8,2.8,175.39,172535.72,27710,75353,2.7945,2.3829
2043,1,NA,NA,1.93,2.75,0.05,4.78,1.73,3.5,2.6,5.8,2.8,180.65,180794.76,29168,79400,2.9589,2.5226
2044,1,NA,NA,1.93,2.75,0.05,4.76,1.71,3.5,2.6,5.8,2.8,186.07,189414.8,30710,83680,3.133,2.6707
2045,1,NA,NA,1.93,2.75,0.05,4.74,1.69,3.5,2.6,5.8,2.8,191.66,198412.6,32341,88210,3.3174,2.8275
2046,1,NA,NA,1.93,2.75,0.05,4.72,1.67,3.5,2.6,5.8,2.8,197.41,207805.7,34064,92994,3.5126,2.9937
2047,1,NA,NA,1.93,2.75,0.05,4.73,1.68,3.5,2.6,5.8,2.8,203.33,217651.55,35891,98062,3.7192,3.1699
2048,1,NA,NA,1.93,2.75,0.05,4.74,1.68,3.5,2.6,5.8,2.8,209.43,227969.96,37823,103425,3.9381,3.3564
2049,1,NA,NA,1.93,2.75,0.05,4.74,1.69,3.5,2.7,5.8,2.8,215.71,238787.17,39871,109103,4.1698,3.5539
2050,1,NA,NA,1.93,2.75,0.05,4.74,1.69,3.5,2.7,5.8,2.8,222.18,250115.49,42038,115112,4.4152,3.763
2051,1,NA,NA,1.93,2.75,0.05,4.74,1.69,3.5,2.7,5.8,2.8,228.85,261992.64,44329,121465,4.6749,3.9844
2052,1,NA,NA,1.93,2.75,0.05,4.74,1.69,3.5,2.7,5.8,2.8,235.71,274446.68,46746,128168,4.95,4.2189
2053,1,NA,NA,1.93,2.75,0.05,4.75,1.7,3.5,2.7,5.8,2.8,242.78,287504.78,49295,135239,5.2413,4.4671
2054,1,NA,NA,1.93,2.75,0.05,4.75,1.69,3.5,2.7,5.8,2.8,250.07,301185.36,51981,142689,5.5497,4.7299
2055,1,NA,NA,1.93,2.75,0.05,4.75,1.7,3.5,2.7,5.8,2.8,257.57,315518.44,54815,150549,5.8762,5.0083
2056,1,NA,NA,1.93,2.75,0.05,4.75,1.7,3.5,2.7,5.8,2.8,265.3,330532.42,57808,158846,6.222,5.3029
2057,1,NA,NA,1.93,2.75,0.05,4.76,1.71,3.5,2.7,5.8,2.8,273.26,346283.67,60969,167606,6.5881,5.615
2058,1,NA,NA,1.93,2.75,0.05,4.77,1.72,3.5,2.7,5.8,2.8,281.45,362823.97,64300,176834,6.9757,5.9454
2059,1,NA,NA,1.93,2.75,0.05,4.78,1.73,3.5,2.7,5.8,2.8,289.9,380184.16,67810,186554,7.3862,6.2952
2060,1,NA,NA,1.93,2.75,0.05,4.79,1.73,3.5,2.7,5.8,2.8,298.59,398402.81,71511,196798,7.8208,6.6656
2061,1,NA,NA,1.93,2.75,0.05,4.79,1.74,3.5,2.7,5.8,2.8,307.55,417512.77,75411,207592,8.2809,7.0578
2062,1,NA,NA,1.93,2.75,0.05,4.8,1.74,3.5,2.6,5.8,2.8,316.78,437558.2,79517,218949,8.7682,7.4731
2063,1,NA,NA,1.93,2.75,0.05,4.8,1.75,3.5,2.6,5.8,2.8,326.28,458571.18,83845,230916,9.2841,7.9128
2064,1,NA,NA,1.93,2.75,0.05,4.8,1.75,3.5,2.6,5.8,2.8,336.07,480595.94,88406,243525,9.8304,8.3784
2065,1,NA,NA,1.93,2.75,0.05,4.8,1.75,3.5,2.6,5.8,2.8,346.15,503681.03,93206,256786,10.4088,8.8714
